Account,Parcel Number,Reception,Sale Date,Sale Price,Situs Address,Location,Classification,Architectural Style,Actual Year Built,Bedrooms,Baths,Heated Area,Legal
R007341,239334430001,852413,8/8/2014,"$210,000",000133 SOPRIS AVE #A,CARBONDALE,Condo,CONDO,1974,1,1,621,"Section: 34 Township: 7 Range: 88 DESC: RESUB OF BLK 4, ORIGINAL TWNSTE Subdivision: DUBEY CONDOMINIUMS Unit: A"
R340686,239334350003,871451,12/11/2015,"$265,000",213 1/2 N 10TH ST #C,CARBONDALE,Condo,CONDO,1980,1,1,732,Section: 34 Township: 7 Range: 88 Subdivision: SOUTHVIEW CONDOS Unit: C
R045341,23933430G008,861415,4/14/2015,"$308,500",000345 COLORADO AVE #202,CARBONDALE,Condo,CONDO,2008,1,1,792,"Section: 34 Township: 7 Range: 88 DESC: A RESUB OF LOT 1A, COLORADO PLACE SUB. EXEMPTION Subdivision: COLORADO PLACE CONDOMINIUMS - PH 1 Unit: 202"
R340803,246303105047,872689,1/20/2016,"$160,000",000086 ROARING FORK AVE #C3,CARBONDALE,Condo,CONDO,1981,1,1,800,Section: 3 Township: 8 Range: 88 DESC: BLDG 4 Subdivision: CARBONDALE SOUTH P.U.D. Unit: C-3
R044451,239333149008,875851,4/8/2016,"$340,000",001913 DOLORES WAY,CARBONDALE,Condo,CONDO,2007,2,1,864,"Section: 33 Township: 7 Range: 88 DESC: A RESUB OF LOT 7B OF THE AMENDED KAY PUD, PHASE 2 Subdivision: CLEAVER AND CALEB CONDOMINIUMS Unit: C8"
R044451,239333149008,850890,7/1/2014,"$45,000",001913 DOLORES WAY,CARBONDALE,Condo,CONDO,2007,2,1,864,"Section: 33 Township: 7 Range: 88 DESC: A RESUB OF LOT 7B OF THE AMENDED KAY PUD, PHASE 2 Subdivision: CLEAVER AND CALEB CONDOMINIUMS Unit: C8"
R044735,239328461007,867442,8/28/2015,"$251,200",002563 DOLORES WAY,CARBONDALE,Condo,CONDO,2007,2,2,891,Section: 28 Township: 7 Range: 88 Subdivision: ADW CENTER CONDOMINIUMS Unit: U2563
R044734,239328461006,878130,6/7/2016,"$275,500",002561 DOLORES WAY,CARBONDALE,Condo,CONDO,2007,2,2,918,Section: 28 Township: 7 Range: 88 Subdivision: ADW CENTER CONDOMINIUMS Unit: U2561
R340198,239334414003,863378,6/1/2015,"$323,000",455 1/2 S 2ND ST #3,CARBONDALE,Condo,CONDO,1972,2,1.75,946,Section: 34 Township: 7 Range: 88 Subdivision: POPLAR APT. CONDOS Unit: 3
R340319,239334414002,871680,12/17/2015,"$323,000",455 S 2ND ST #2,CARBONDALE,Condo,CONDO,1972,3,1.75,946,Section: 34 Township: 7 Range: 88 Subdivision: POPLAR APT. CONDOS Unit: 2
R044454,239333149011,877861,5/31/2016,"$364,000",001905 DOLORES WAY,CARBONDALE,Condo,CONDO,2007,2,2,1008,"Section: 33 Township: 7 Range: 88 DESC: A RESUB OF LOT 7B OF THE AMENDED KAY PUD, PHASE 2 Subdivision: CLEAVER AND CALEB CONDOMINIUMS Unit: R1"
R042427,239334394005,854378,10/2/2014,"$252,000",MAIN ST,CARBONDALE,Condo,CONDO,2005,2,1.5,1050,Section: 34 Township: 7 Range: 88 Subdivision: BRAEBURN BUILDING CONDO EXEMPTION Unit: 201
R341170,239333415003,863733,6/1/2015,"$284,500",001375 BARBER DR,CARBONDALE,Townhome,TWO STORY,1983,2,1.5,1072,"Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE PH 1,FL6 AMEND Block: 18 Lot: 3"
R341221,246303105052,868632,9/11/2015,"$222,000",000082 ROARING FORK AVE #A4,CARBONDALE,Condo,CONDO,1996,2,2,1080,Section: 3 Township: 8 Range: 88 DESC: BLDG 5 Subdivision: CARBONDALE SOUTH P.U.D. Unit: A-4
R340578,239334346009,858827,1/30/2015,"$300,000",000088 WEANT BLVD,CARBONDALE,Condo,CONDO,1979,2,1.5,1084,Section: 34 Township: 7 Range: 88 Subdivision: MT. SOPRIS PARK CONDOS #2 Unit: 204
