Account,Parcel Number,Reception,Sale Date,Sale Price,Situs Address,Location,Architectural Style,Year Built,Bedrooms,Baths,Heated Area,Legal
R340967,239334401005,879240,6/29/2016,"$650,000",000066 N 2ND ST,CARBONDALE,ONE STORY,1970,0,0,0,"Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 1 Lot: 10 THRU:- Lot: 12, Subdivision: ORIGINAL TWNSTE CARBONDALE Lot: 0 AND:- Lot: 0 AND:- Lot: 0 AND:- Lot: 0 AND:- Lot: 0 S 50' OF LOTS 10-12 ALSO THE 15' OF THE ALLEY LYING IN BLK 1 ALSO A TR IN LOTS 13-15 ALSO A STRIP 17'X130' BEING A PORTION OF 2ND ST. R.O.W. LEASED FROM TOWN OF CARBONDALE"
R340073,239334200010,870778,11/24/2015,"$560,000",000276 10TH ST,CARBONDALE,ONE STORY,1971,1,1,480,Section: 34 Township: 7 Range: 88 TR IN LOT 5
R112063,239335100057,869383,10/13/2015,"$2,750,000",000855 ROSE LN,CARBONDALE,ONE STORY,2002,0,0.75,680,Section: 35 Township: 7 Range: 88 A TR IN LOTS 6 & 8. AKA LOT 1 DAY EXEMPTION.
R580140,239334366004,857328,12/18/2014,"$630,500",000640 LINCOLN AVE,CARBONDALE,ONE,1999,1,1,710,Section: 34 Township: 7 Range: 88 - Subdivision: LINCOLN AVE EAST PUD Lot: D
R043949,239120300276,853541,9/12/2014,"$2,800,000",102 COUNTY RD,CARBONDALE,ONE STORY,2008,2,1,764,Section: 20 Township: 7 Range: 87 A TR IN THE W1/2SE1/4 AND THE E1/2SW1/4. ALSO KNOW AS PARCEL B CUSEO SUB-EXMT
R011301,239120300057,868354,9/21/2015,"$785,000",000500 102 COUNTY RD,CARBONDALE,ONE STORY,1994,1,1,804,"Section: 20 Township: 7 Range: 87 ALL THAT PORTION OF NESW CONT 7.25 AC LYING SLY & WLY OF CO RD 102. EXCEPT A TR CONT .30 AC AS DESC IN BK 920 PG 333. EXCEPT A TR CONT .62 AC AS DESC IN BK 1510 PGS 316,313. EXCEPT A TR CONT .31 AC AS DESC IN BNDY LINE ADJ BK 1510 PGS 319,322. EXCEPT A TR CONT .02 AC AS DESC IN BNDY LINE ADJ BK 1510 PGS 325,328."
R011415,239325100148,861479,4/10/2015,"$1,200,000",005347 100 COUNTY RD,CARBONDALE,ONE STORY,1993,1,1,825,Section: 25 Township: 7 Range: 88 S1/2NENE EXCEPT A TR CONT. 2.72 AC.
R005930,246304125013,875431,3/24/2016,"$1,040,000",003904 CRYSTAL BRIDGE DR,CARBONDALE,TWO STORY,2008,1,1,957,Section: 4 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH PHASE 5B Block: D Lot: 13
R040419,246303100026,865422,7/13/2015,"$340,000",001968 133 HWY,CARBONDALE,ONE STORY,1957,2,1.75,960,Section: 3 Township: 8 Range: 88 Subdivision: HARRIS SUB. EXEMPTION AMENDED Lot: 1A RESUB OF LOT 1 AS PER AMENDED PLAT RECEPTION NUMBER 632804
R041666,239334268001,868224,9/15/2015,"$395,000",000350 N 11TH ST,CARBONDALE,ONE STORY,2004,2,2,960,Section: 34 Township: 7 Range: 88 Subdivision: TENTH STREET SUB-DIV. EXEMPTION Lot: 1
R112014,239323100373,877759,5/27/2016,"$987,500",000840 112 COUNTY RD,CARBONDALE,TWO STORY,1967,1,1,960,Section: 23 Township: 7 Range: 88 A TR IN NENE.
