Index,Inspection_Date,Sale_Date,Sale_Price,Location,Classification,Architectural_Style,Year_Built,Bedrooms,Baths,Square_Feet,Count,Price_per_SF
0,2014-07-04,2014-08-08,210000,CARBONDALE,Condo,CONDO,1974,1,1,621,1,338.1642512077295
1,2015-11-06,2015-12-11,265000,CARBONDALE,Condo,CONDO,1980,1,1,732,1,362.0218579234973
2,2015-03-10,2015-04-14,308500,CARBONDALE,Condo,CONDO,2008,1,1,792,1,389.520202020202
3,2015-12-16,2016-01-20,160000,CARBONDALE,Condo,CONDO,1981,1,1,800,1,200
4,2016-03-04,2016-04-08,340000,CARBONDALE,Condo,CONDO,2007,2,1,864,1,393.51851851851853
5,2014-05-27,2014-07-01,45000,CARBONDALE,Condo,CONDO,2007,2,1,864,1,52.083333333333336
6,2015-07-24,2015-08-28,251200,CARBONDALE,Condo,CONDO,2007,2,2,891,1,281.9304152637486
7,2016-05-03,2016-06-07,275500,CARBONDALE,Condo,CONDO,2007,2,2,918,1,300.1089324618736
8,2015-04-27,2015-06-01,323000,CARBONDALE,Condo,CONDO,1972,2,1.75,946,1,341.43763213530656
9,2015-11-12,2015-12-17,323000,CARBONDALE,Condo,CONDO,1972,3,1.75,946,1,341.43763213530656
10,2016-04-26,2016-05-31,364000,CARBONDALE,Condo,CONDO,2007,2,2,1008,1,361.1111111111111
11,2014-08-28,2014-10-02,252000,CARBONDALE,Condo,CONDO,2005,2,1.5,1050,1,240
12,2015-04-27,2015-06-01,284500,CARBONDALE,Townhome,TWO STORY,1983,2,1.5,1072,1,265.39179104477614
13,2015-08-07,2015-09-11,222000,CARBONDALE,Condo,CONDO,1996,2,2,1080,1,205.55555555555554
14,2014-12-26,2015-01-30,300000,CARBONDALE,Condo,CONDO,1979,2,1.5,1084,1,276.7527675276753
15,2014-06-18,2014-07-23,300000,CARBONDALE,Townhome,TWO STORY,1996,2,2,1099,1,272.975432211101
16,2016-04-01,2016-05-06,345000,CARBONDALE,Townhome,TWO STORY,1997,2,2,1099,1,313.92174704276613
17,2015-03-17,2015-04-21,190000,CARBONDALE,Condo,CONDO,1981,2,1.7,1164,1,163.23024054982818
18,2015-03-30,2015-05-04,200000,CARBONDALE,Condo,CONDO,1981,2,1.75,1164,1,171.82130584192439
19,2015-08-12,2015-09-16,193500,CARBONDALE,Condo,CONDO,1980,2,2,1164,1,166.23711340206185
20,2016-04-21,2016-05-26,229000,CARBONDALE,Condo,CONDO,1980,2,1.75,1164,1,196.73539518900344
21,2016-02-22,2016-03-28,295000,CARBONDALE,Townhome,TWO STORY,2006,3,1.5,1167,1,252.78491859468724
22,2015-09-29,2015-11-03,41700,CARBONDALE,Townhome,TWO STORY,2006,3,1.5,1167,1,35.732647814910024
23,2016-03-04,2016-04-08,307000,CARBONDALE,Townhome,TWO STORY,1976,3,1.5,1188,1,258.41750841750843
24,2016-03-25,2016-04-29,315100,CARBONDALE,Townhome,TWO STORY,1976,3,1.5,1188,1,265.23569023569024
25,2016-04-07,2016-05-12,285000,CARBONDALE,Condo,CONDO,1973,2,2,1200,1,237.5
26,2016-01-26,2016-03-01,290000,CARBONDALE,Condo,CONDO,1973,2,1.7,1200,1,241.66666666666666
27,2015-04-16,2015-05-21,280000,CARBONDALE,Condo,CONDO,1973,2,1.7,1200,1,233.33333333333334
28,2015-08-26,2015-09-30,370000,CARBONDALE,Condo,CONDO,1956,2,2.5,1200,1,308.3333333333333
29,2015-08-28,2015-10-02,335000,CARBONDALE,Townhome,BI LEVEL,1991,2,2.5,1200,1,279.1666666666667
30,2015-07-06,2015-08-10,355000,CARBONDALE,Townhome,BI LEVEL,1991,2,2.5,1200,1,295.8333333333333
31,2016-03-25,2016-04-29,354000,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,1,295
32,2016-03-25,2016-04-29,340000,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,1,283.3333333333333
33,2014-12-08,2015-01-12,335000,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,1,279.1666666666667
34,2015-04-24,2015-05-29,339000,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,1,282.5
35,2015-09-18,2015-10-23,379000,CARBONDALE,Townhome,TWO STORY,2002,2,2.5,1210,1,313.22314049586777
36,2015-11-25,2015-12-30,375000,CARBONDALE,Townhome,TWO STORY,2002,2,2.25,1210,1,309.91735537190084
37,2016-03-16,2016-04-20,385000,CARBONDALE,Townhome,TWO STORY,2002,2,2.25,1210,1,318.1818181818182
38,2015-11-10,2015-12-15,280000,CARBONDALE,Condo,CONDO,1996,3,2,1215,1,230.45267489711935
39,2015-07-23,2015-08-27,239000,CARBONDALE,Condo,CONDO,1996,3,2,1215,1,196.70781893004116
40,2014-09-04,2014-10-09,265000,CARBONDALE,Condo,CONDO,1979,2,1.5,1224,1,216.5032679738562
41,2015-06-22,2015-07-27,335000,CARBONDALE,Townhome,ONE STORY W/ BSMT,1990,2,2.5,1243,1,269.5092518101368
42,2016-01-07,2016-02-11,325000,CARBONDALE,Townhome,TWO STORY,1974,3,2.5,1248,1,260.4166666666667
43,2016-05-20,2016-06-24,314000,CARBONDALE,Condo,CONDO,1973,3,1.7,1248,1,251.60256410256412
44,2015-09-15,2015-10-20,424000,CARBONDALE,Condo,CONDO,1973,2,1.5,1248,1,339.7435897435897
45,2015-10-28,2015-12-02,395000,CARBONDALE,Condo,CONDO,1973,3,1.7,1248,1,316.5064102564103
46,2015-07-23,2015-08-27,275000,CARBONDALE,Condo,CONDO,1973,3,1.7,1248,1,220.35256410256412
47,2014-08-07,2014-09-11,342000,CARBONDALE,Townhome,TWO STORY,1981,2,2,1260,1,271.42857142857144
48,2014-09-05,2014-10-10,315500,CARBONDALE,Townhome,TWO STORY,1981,2,1.75,1260,1,250.3968253968254
49,2014-08-11,2014-09-15,308500,CARBONDALE,Townhome,TWO STORY,1982,2,1.5,1260,1,244.84126984126985
50,2015-09-28,2015-11-02,350000,CARBONDALE,Condo,CONDO,1981,3,1.5,1280,1,273.4375
51,2015-05-02,2015-06-06,340000,CARBONDALE,Townhome,TWO STORY,1994,3,2.25,1280,1,265.625
52,2014-06-26,2014-07-31,275000,CARBONDALE,Townhome,TWO STORY,1994,3,2.5,1280,1,214.84375
53,2015-06-15,2015-07-20,343500,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,1,267.1073094867807
54,2015-10-16,2015-11-20,375000,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,1,291.601866251944
55,2016-01-18,2016-02-22,358700,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,1,278.92690513219287
56,2016-03-18,2016-04-22,364000,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,1,283.04821150855366
57,2015-01-19,2015-02-23,355000,CARBONDALE,Townhome,TWO STORY,1989,3,2.75,1301,1,272.86702536510376
58,2015-06-15,2015-07-20,220000,CARBONDALE,Condo,CONDO,1980,3,1.7,1304,1,168.7116564417178
59,2015-08-28,2015-10-02,412000,CARBONDALE,Townhome,TWO STORY,1997,3,2.25,1306,1,315.46707503828486
60,2015-08-19,2015-09-23,469000,CARBONDALE,Townhome,TWO STORY,2004,2,2.5,1312,1,357.469512195122
61,2015-11-10,2015-12-15,387500,CARBONDALE,Townhome,TWO STORY,1982,3,2,1326,1,292.2322775263952
62,2015-03-05,2015-04-09,360000,CARBONDALE,Townhome,TWO STORY,1994,3,2,1326,1,271.49321266968326
